"type","region","language_pair_collapsed","percent_bilingual_children_age_0_to_4","percent_bilingual_children_age_5_to_9","percent_bilingual_children_age_0_to_9","percent_all_children_age_0_to_4","percent_all_children_age_5_to_9","percent_all_children_age_0_to_9","province","area","order_by_type"
"province","Manitoba","English & Other",48.2,48.3,48.2,6.2,9.1,7.7,"Manitoba",NA,2
"province","Manitoba","Other & Other",2.2,2,2.1,0.3,0.4,0.3,"Manitoba",NA,2
"province","Manitoba","French & Other",1.5,1.7,1.6,0.2,0.3,0.3,"Manitoba",NA,2
"province","Saskatchewan","Indigenous Languages & English",14,12.9,13.3,1.3,1.7,1.5,"Saskatchewan",NA,1
"province","Saskatchewan","English & French",4.7,17.6,12.6,0.4,2.4,1.4,"Saskatchewan",NA,1
"province","Saskatchewan","English & Tagalog",11.7,9.9,10.6,1.1,1.3,1.2,"Saskatchewan",NA,1
"province","Saskatchewan","English & Urdu",6.4,7,6.8,0.6,0.9,0.8,"Saskatchewan",NA,1
"province","Saskatchewan","English & Other",60.2,50.7,54.4,5.5,6.8,6.1,"Saskatchewan",NA,2
"province","Saskatchewan","French & Other",1.2,1.1,1.1,0.1,0.1,0.1,"Saskatchewan",NA,2
"province","Saskatchewan","Other & Other",1.8,0.7,1.1,0.2,0.1,0.1,"Saskatchewan",NA,2
"province","Alberta","English & French",8,17.1,13.1,1.2,3.2,2.2,"Alberta",NA,1
"province","Alberta","English & Tagalog",8.5,5,6.5,1.3,0.9,1.1,"Alberta",NA,1
"province","Alberta","English & Punjabi",5.1,6.2,5.7,0.8,1.1,1,"Alberta",NA,1
"province","Alberta","English & Arabic",5.6,5,5.3,0.8,0.9,0.9,"Alberta",NA,1
"province","Alberta","English & Spanish",4.7,5,4.8,0.7,0.9,0.8,"Alberta",NA,1
"province","Alberta","English & Urdu",3.9,3.5,3.7,0.6,0.6,0.6,"Alberta",NA,1
"province","Alberta","Indigenous Languages & English",1.9,1.9,1.9,0.3,0.3,0.3,"Alberta",NA,1
"province","Alberta","English & Other",59.1,53,55.7,8.8,9.9,9.3,"Alberta",NA,2
"province","Alberta","French & Other",1.9,2.2,2,0.3,0.4,0.3,"Alberta",NA,2
"province","Alberta","Other & Other",1.3,1.3,1.3,0.2,0.2,0.2,"Alberta",NA,2
"province","British Columbia","English & Punjabi",12.2,14.5,13.5,2.1,3.1,2.6,"British Columbia",NA,1
"province","British Columbia","English & French",6.6,15.8,11.9,1.1,3.4,2.3,"British Columbia",NA,1
"province","British Columbia","English & Mandarin",13.7,8.6,10.8,2.3,1.8,2.1,"British Columbia",NA,1
"province","British Columbia","English & Cantonese",5.9,5.1,5.4,1,1.1,1,"British Columbia",NA,1
"province","British Columbia","English & Spanish",4.2,2.6,3.3,0.7,0.5,0.6,"British Columbia",NA,1
"province","British Columbia","English & Other",54,50.6,52,9.1,10.8,9.9,"British Columbia",NA,2
"province","British Columbia","French & Other",1.2,1.8,1.5,0.2,0.4,0.3,"British Columbia",NA,2
"province","British Columbia","Other & Other",2.1,1.1,1.5,0.4,0.2,0.3,"British Columbia",NA,2
"province","Northern Canada","Indigenous Languages & English",50.7,50,50.3,14.9,19.2,17,"Northern Canada",NA,1
"province","Northern Canada","English & French",11,9.6,10.2,3.2,3.7,3.4,"Northern Canada",NA,1
"province","Northern Canada","English & Tagalog",5.5,1.1,3,1.6,0.4,1,"Northern Canada",NA,1
"province","Northern Canada","English & Other",31.5,39.4,35.9,9.2,15.1,12.1,"Northern Canada",NA,2
"province","Northern Canada","French & Other",1.4,NA,0.6,0.4,NA,0.2,"Northern Canada",NA,2
"canada","Canada","English & French",21.3,27.9,25.1,3.6,6.2,4.9,NA,NA,NA
"canada","Canada","English & Mandarin",4.6,3.4,3.9,0.8,0.8,0.8,NA,NA,NA
"canada","Canada","English & Punjabi",4.3,4.5,4.4,0.7,1,0.9,NA,NA,NA
"canada","Canada","English & Arabic",3.4,3,3.2,0.6,0.7,0.6,NA,NA,NA
"canada","Canada","English & Spanish",3.2,2.5,2.8,0.5,0.6,0.5,NA,NA,NA
"canada","Canada","English & Urdu",2.9,3.2,3.1,0.5,0.7,0.6,NA,NA,NA
"canada","Canada","French & Arabic",2.9,2.7,2.7,0.5,0.6,0.5,NA,NA,NA
"canada","Canada","Indigenous Languages & English",1.7,1.8,1.8,0.3,0.4,0.3,NA,NA,NA
"canada","Canada","Indigenous Languages & French",0.2,0.2,0.2,0,0.1,0,NA,NA,NA
"canada","Canada","English & Other",44.2,39.9,41.7,7.4,8.9,8.2,NA,NA,NA
"canada","Canada","French & Other",10.3,10.1,10.2,1.7,2.3,2,NA,NA,NA
"canada","Canada","Other & Other",1.1,0.8,0.9,0.2,0.2,0.2,NA,NA,NA
